longitude,latitude,updated_type,updated_subtype,count
-87.62,41.9,Jam,Heavy Traffic,1347
-87.77,41.98,Jam,Heavy Traffic,1345
-87.67,41.91,Jam,Heavy Traffic,1335
-87.63,41.83,Jam,Heavy Traffic,1331
-87.68,41.84,Hazard,Hazard - Shoulder,1317
-87.67,41.84,Hazard,Hazard - Shoulder,1312
-87.62,41.85,Hazard,Hazard - Shoulder,1291
-87.68,41.92,Jam,Standstill Traffic,1285
-87.83,41.98,Hazard,Hazard - Shoulder,1267
-87.65,41.87,Hazard,Hazard - Shoulder,1262
-87.7,41.88,Hazard,Hazard - Shoulder,1260
-87.63,41.74,Hazard,Hazard - Shoulder,1254
-87.74,41.82,Jam,Heavy Traffic,1251
-87.8,41.98,Hazard,Hazard - Shoulder,1249
-87.68,41.92,Hazard,Hazard - Shoulder,1249
-87.63,41.81,Hazard,Hazard - Road,1228
-87.63,41.84,Hazard,Hazard - Road,1222
-87.66,41.99,Hazard,Hazard - Road,1217
-87.79,41.98,Jam,Standstill Traffic,1216
-87.72,41.94,Jam,Heavy Traffic,1212
-87.7,41.93,Hazard,Hazard - Shoulder,1212
-87.61,41.85,Hazard,Hazard - Shoulder,1211
-87.75,41.97,Hazard,Hazard - Road,1209
-87.75,41.99,Hazard,Hazard - Shoulder,1203
-87.76,41.87,Jam,Standstill Traffic,1198
-87.63,41.81,Jam,Heavy Traffic,1195
-87.74,41.82,Hazard,Hazard - Road,1195
-87.62,41.87,Jam,Heavy Traffic,1174
-87.81,41.98,Hazard,Hazard - Shoulder,1162
-87.66,41.89,Jam,Standstill Traffic,1155
-87.64,41.85,Hazard,Hazard - Road,1148
-87.66,41.98,Jam,Standstill Traffic,1141
-87.66,41.9,Hazard,Hazard - Road,1138
-87.63,41.75,Hazard,Hazard - Shoulder,1134
-87.68,41.93,Jam,Heavy Traffic,1132
-87.65,41.85,Jam,Heavy Traffic,1123
-87.64,41.86,Hazard,Hazard - Shoulder,1123
-87.62,41.9,Hazard,Hazard - Road,1109
-87.59,41.71,Hazard,Hazard - Shoulder,1109
-87.63,41.85,Jam,Heavy Traffic,1107
-87.77,41.98,Jam,Standstill Traffic,1098
-87.71,41.94,Hazard,Hazard - Road,1092
-87.82,41.98,Jam,Heavy Traffic,1091
-87.66,41.84,Jam,Heavy Traffic,1086
-87.65,41.89,Jam,Unclassified,1086
-87.8,41.98,Jam,Heavy Traffic,1084
-87.67,41.88,Jam,Heavy Traffic,1067
-87.62,41.9,Hazard,Hazard - Shoulder,1066
-87.7,41.94,Jam,Standstill Traffic,1065
-87.77,41.87,Jam,Standstill Traffic,1064
-87.64,41.86,Jam,Standstill Traffic,1056
-87.62,41.88,Jam,Heavy Traffic,1053
-87.64,41.88,Jam,Standstill Traffic,1035
-87.63,41.82,Jam,Heavy Traffic,1027
-87.69,41.83,Hazard,Hazard - Shoulder,1022
-87.77,41.87,Jam,Heavy Traffic,1015
-87.68,41.88,Hazard,Hazard - Road,1014
-87.68,41.93,Jam,Standstill Traffic,988
-87.76,41.87,Jam,Heavy Traffic,987
-87.65,41.88,Road Closed,Unclassified,979
-87.65,41.87,Jam,Standstill Traffic,978
-87.62,41.89,Hazard,Hazard - Road,977
-87.67,41.88,Jam,Standstill Traffic,976
-87.72,41.94,Jam,Standstill Traffic,974
-87.66,41.98,Jam,Heavy Traffic,974
-87.69,41.93,Hazard,Hazard - Road,974
-87.66,41.9,Jam,Unclassified,973
-87.65,41.9,Jam,Standstill Traffic,970
-87.61,41.89,Jam,Heavy Traffic,968
-87.76,41.97,Hazard,Hazard - Road,968
-87.62,41.74,Hazard,Hazard - Shoulder,962
-87.7,41.83,Jam,Heavy Traffic,952
-87.66,41.89,Jam,Heavy Traffic,950
-87.67,41.84,Jam,Heavy Traffic,945
-87.65,41.88,Jam,Unclassified,944
-87.63,41.85,Jam,Standstill Traffic,932
-87.63,41.91,Jam,Heavy Traffic,927
-87.84,41.98,Hazard,Hazard - Shoulder,926
-87.75,41.82,Hazard,Hazard - Shoulder,924
-87.63,41.84,Jam,Standstill Traffic,922
-87.75,41.99,Jam,Standstill Traffic,919
-87.68,41.84,Jam,Heavy Traffic,916
-87.67,41.92,Hazard,Hazard - Road,915
-87.62,41.89,Jam,Standstill Traffic,909
-87.73,41.95,Hazard,Hazard - Road,895
-87.67,41.91,Hazard,Hazard - Shoulder,894
-87.62,41.71,Hazard,Hazard - Shoulder,894
-87.74,41.82,Jam,Standstill Traffic,888
-87.7,41.94,Hazard,Hazard - Shoulder,887
-87.75,41.87,Jam,Standstill Traffic,883
-87.75,41.87,Jam,Heavy Traffic,877
-87.63,41.83,Jam,Standstill Traffic,876
-87.67,41.91,Jam,Standstill Traffic,866
-87.75,41.99,Jam,Heavy Traffic,866
-87.66,41.92,Jam,Standstill Traffic,863
-87.63,41.91,Hazard,Hazard - Road,862
-87.63,41.93,Hazard,Hazard - Shoulder,860
-87.73,41.96,Jam,Heavy Traffic,857
-87.74,41.96,Hazard,Hazard - Road,857
-87.64,41.88,Hazard,Hazard - Road,853
-87.62,41.72,Jam,Heavy Traffic,852
-87.73,41.87,Hazard,Hazard - Road,851
-87.63,41.77,Jam,Heavy Traffic,851
-87.77,41.97,Hazard,Hazard - Shoulder,846
-87.63,41.79,Hazard,Hazard - Road,842
-87.61,41.89,Hazard,Hazard - Road,835
-87.64,41.89,Jam,Heavy Traffic,831
-87.66,41.91,Hazard,Hazard - Road,830
-87.74,41.87,Jam,Heavy Traffic,828
-87.81,41.98,Jam,Standstill Traffic,827
-87.72,41.95,Hazard,Hazard - Road,826
-87.75,41.96,Hazard,Hazard - Road,819
-87.64,41.88,Jam,Heavy Traffic,817
-87.61,41.89,Hazard,Hazard - Shoulder,816
-87.65,41.91,Jam,Standstill Traffic,809
-87.63,41.89,Jam,Standstill Traffic,808
-87.63,41.79,Jam,Heavy Traffic,797
-87.63,41.85,Hazard,Hazard - Road,797
-87.63,41.92,Hazard,Hazard - Shoulder,796
-87.62,41.87,Hazard,Hazard - Road,793
-87.67,41.93,Jam,Standstill Traffic,792
-87.64,41.89,Hazard,Hazard - Road,788
-87.63,41.91,Jam,Standstill Traffic,785
-87.6,41.7,Hazard,Hazard - Shoulder,784
-87.63,41.78,Hazard,Hazard - Road,780
-87.63,41.89,Hazard,Hazard - Road,779
-87.7,41.93,Hazard,Hazard - Road,779
-87.78,41.87,Hazard,Hazard - Shoulder,776
-87.62,41.73,Jam,Heavy Traffic,775
-87.63,41.78,Jam,Heavy Traffic,775
-87.65,41.85,Jam,Standstill Traffic,771
-87.77,41.98,Hazard,Hazard - Shoulder,764
-87.59,41.66,Hazard,Hazard - Road,757
-87.63,41.83,Hazard,Hazard - Road,756
-87.63,41.8,Jam,Heavy Traffic,750
-87.69,41.98,Hazard,Hazard - Road,747
-87.6,41.82,Hazard,Hazard - Shoulder,746
-87.71,41.83,Hazard,Hazard - Road,745
-87.74,41.87,Jam,Standstill Traffic,744
-87.72,41.87,Jam,Heavy Traffic,743
-87.67,41.93,Jam,Heavy Traffic,743
-87.63,41.88,Hazard,Hazard - Road,735
-87.62,41.88,Hazard,Hazard - Shoulder,732
-87.62,41.86,Jam,Standstill Traffic,732
-87.63,41.81,Jam,Standstill Traffic,732
-87.7,41.92,Jam,Heavy Traffic,731
-87.72,41.82,Jam,Heavy Traffic,729
-87.71,41.95,Jam,Heavy Traffic,729
-87.88,41.98,Hazard,Hazard - Shoulder,726
-87.82,41.98,Hazard,Hazard - Shoulder,720
-87.6,41.69,Hazard,Hazard - Road,710
-87.63,41.8,Hazard,Hazard - Road,710
-87.63,41.76,Jam,Heavy Traffic,708
-87.73,41.82,Jam,Heavy Traffic,705
-87.64,41.94,Jam,Heavy Traffic,704
-87.62,41.86,Hazard,Hazard - Shoulder,702
-87.66,41.88,Hazard,Hazard - Road,697
-87.62,41.86,Hazard,Hazard - Road,689
-87.73,41.87,Jam,Heavy Traffic,689
-87.69,41.88,Jam,Heavy Traffic,684
-87.61,41.83,Hazard,Hazard - Shoulder,675
-87.65,41.87,Hazard,Hazard - Road,667
-87.81,41.98,Hazard,Hazard - Road,665
-87.82,41.98,Jam,Standstill Traffic,663
-87.7,41.83,Jam,Standstill Traffic,658
-87.6,41.69,Jam,Heavy Traffic,658
-87.72,41.87,Jam,Standstill Traffic,657
-87.72,41.94,Hazard,Hazard - Shoulder,653
-87.64,41.88,Hazard,Hazard - Shoulder,652
-87.73,41.96,Jam,Standstill Traffic,651
-87.66,41.84,Jam,Standstill Traffic,650
-87.66,41.88,Jam,Heavy Traffic,645
-87.64,41.94,Jam,Standstill Traffic,644
-87.62,41.85,Jam,Heavy Traffic,642
-87.75,41.98,Hazard,Hazard - Road,638
-87.63,41.91,Hazard,Hazard - Shoulder,636
-87.69,41.88,Hazard,Hazard - Road,636
-87.73,41.87,Jam,Standstill Traffic,635
-87.71,41.95,Jam,Standstill Traffic,635
-87.72,41.83,Hazard,Hazard - Shoulder,633
-87.65,41.85,Hazard,Hazard - Road,632
-87.63,41.82,Hazard,Hazard - Road,632
-87.67,41.91,Hazard,Hazard - Road,630
-87.63,41.82,Jam,Standstill Traffic,629
-87.7,41.95,Jam,Heavy Traffic,628
-87.71,41.94,Jam,Unclassified,624
-87.62,41.87,Hazard,Hazard - Shoulder,621
-87.65,41.84,Hazard,Hazard - Shoulder,621
-87.76,41.87,Hazard,Hazard - Road,619
-87.67,41.84,Jam,Standstill Traffic,615
-87.6,41.71,Jam,Heavy Traffic,614
-87.72,41.82,Hazard,Hazard - Road,614
-87.67,41.92,Jam,Unclassified,612
-87.65,41.9,Jam,Heavy Traffic,612
-87.79,41.98,Jam,Unclassified,610
-87.83,41.98,Jam,Heavy Traffic,610
-87.65,41.95,Jam,Standstill Traffic,608
-87.8,41.98,Jam,Standstill Traffic,606
-87.62,41.86,Jam,Heavy Traffic,604
-87.78,41.98,Jam,Unclassified,604
-87.64,41.94,Hazard,Hazard - Road,600
-87.62,41.75,Hazard,Hazard - Shoulder,598
-87.68,41.84,Jam,Standstill Traffic,597
-87.63,41.89,Jam,Heavy Traffic,596
-87.69,41.98,Jam,Heavy Traffic,596
-87.69,41.93,Jam,Unclassified,593
-87.73,41.82,Hazard,Hazard - Road,593
-87.65,41.91,Jam,Heavy Traffic,591
-87.63,41.88,Jam,Standstill Traffic,591
-87.66,41.98,Hazard,Hazard - Road,588
-87.74,41.87,Hazard,Hazard - Road,586
-87.66,41.9,Road Closed,Unclassified,585
-87.64,41.85,Jam,Unclassified,582
-87.66,41.91,Jam,Unclassified,581
-87.66,41.92,Jam,Heavy Traffic,580
-87.63,41.8,Jam,Standstill Traffic,579
-87.63,41.79,Jam,Standstill Traffic,575
-87.74,41.96,Jam,Unclassified,571
-87.7,41.83,Hazard,Hazard - Road,569
-87.71,41.83,Jam,Heavy Traffic,569
-87.76,41.97,Jam,Unclassified,567
-87.59,41.67,Hazard,Hazard - Shoulder,567
-87.59,41.71,Hazard,Hazard - Road,567
-87.66,41.88,Jam,Standstill Traffic,566
-87.71,41.97,Jam,Heavy Traffic,565
-87.66,41.9,Accident,Unclassified,561
-87.63,41.75,Jam,Heavy Traffic,561
-87.68,41.92,Hazard,Hazard - Road,561
-87.62,41.85,Jam,Standstill Traffic,561
-87.66,41.89,Hazard,Hazard - Shoulder,560
-87.71,41.98,Jam,Heavy Traffic,558
-87.75,41.97,Jam,Unclassified,558
-87.75,41.87,Hazard,Hazard - Road,557
-87.68,41.88,Jam,Heavy Traffic,556
-87.69,41.83,Hazard,Hazard - Road,554
-87.75,41.98,Jam,Unclassified,552
-87.71,41.99,Jam,Heavy Traffic,552
-87.72,41.83,Hazard,Hazard - Road,551
-87.67,41.84,Hazard,Hazard - Road,551
-87.68,41.93,Hazard,Hazard - Road,549
-87.76,41.98,Jam,Standstill Traffic,548
-87.65,41.96,Jam,Standstill Traffic,547
-87.72,41.94,Hazard,Hazard - Road,539
-87.67,41.95,Jam,Heavy Traffic,539
-87.65,41.88,Accident,Unclassified,536
-87.64,41.9,Jam,Standstill Traffic,535
-87.68,41.84,Hazard,Hazard - Road,532
-87.68,41.92,Jam,Unclassified,532
-87.73,41.95,Jam,Unclassified,529
-87.7,41.88,Hazard,Hazard - Road,524
-87.71,41.87,Jam,Heavy Traffic,524
-87.63,41.77,Hazard,Hazard - Road,521
-87.67,41.94,Jam,Standstill Traffic,521
-87.7,41.87,Hazard,Hazard - Shoulder,521
-87.72,41.87,Hazard,Hazard - Road,518
-87.75,41.81,Hazard,Hazard - Shoulder,516
-87.67,41.94,Jam,Heavy Traffic,515
-87.69,41.88,Jam,Standstill Traffic,512
-87.65,41.98,Hazard,Hazard - Shoulder,511
-87.63,41.76,Hazard,Hazard - Road,509
-87.72,41.95,Jam,Unclassified,507
-87.84,41.98,Jam,Heavy Traffic,507
-87.61,41.71,Jam,Heavy Traffic,505
-87.71,41.87,Hazard,Hazard - Road,504
-87.62,41.73,Hazard,Hazard - Road,503
-87.71,41.93,Hazard,Hazard - Road,502
-87.68,41.88,Jam,Standstill Traffic,502
-87.63,41.77,Jam,Standstill Traffic,501
-87.69,41.97,Jam,Heavy Traffic,500
-87.63,41.9,Jam,Heavy Traffic,497
-87.59,41.7,Jam,Heavy Traffic,496
-87.63,41.93,Jam,Heavy Traffic,492
-87.62,41.88,Jam,Unclassified,484
-87.65,41.97,Hazard,Hazard - Road,482
-87.71,41.93,Jam,Standstill Traffic,480
-87.62,41.89,Jam,Heavy Traffic,476
-87.69,41.84,Hazard,Hazard - Road,474
-87.78,41.98,Hazard,Hazard - Road,474
-87.62,41.9,Jam,Unclassified,472
-87.61,41.85,Hazard,Hazard - Road,471
-87.67,41.99,Jam,Heavy Traffic,467
-87.62,41.72,Hazard,Hazard - Road,466
-87.62,41.85,Hazard,Hazard - Road,466
-87.61,41.84,Hazard,Hazard - Shoulder,465
-87.62,41.73,Jam,Standstill Traffic,463
-87.76,42.0,Jam,Standstill Traffic,461
-87.6,41.69,Jam,Standstill Traffic,460
-87.65,41.96,Jam,Heavy Traffic,460
-87.75,41.99,Hazard,Hazard - Road,460
-87.62,41.72,Jam,Standstill Traffic,459
-87.65,41.93,Jam,Standstill Traffic,458
-87.74,41.95,Jam,Standstill Traffic,458
-87.64,41.95,Jam,Standstill Traffic,457
-87.71,41.98,Jam,Standstill Traffic,456
-87.79,41.98,Hazard,Hazard - Road,455
-87.63,41.9,Hazard,Hazard - Road,454
-87.58,41.66,Hazard,Hazard - Shoulder,454
-87.83,41.98,Jam,Standstill Traffic,452
-87.63,41.78,Jam,Standstill Traffic,452
-87.65,41.89,Accident,Unclassified,452
-87.76,41.98,Jam,Heavy Traffic,450
-87.69,41.95,Jam,Heavy Traffic,448
-87.63,41.87,Jam,Standstill Traffic,446
-87.65,41.93,Jam,Heavy Traffic,445
-87.66,41.89,Hazard,Hazard - Road,445
-87.81,41.98,Jam,Unclassified,442
-87.7,41.94,Hazard,Hazard - Road,442
-87.69,41.98,Jam,Standstill Traffic,442
-87.63,41.93,Hazard,Hazard - Road,438
-87.7,41.88,Jam,Heavy Traffic,438
-87.62,41.9,Accident,Unclassified,437
-87.65,41.98,Jam,Standstill Traffic,437
-87.63,41.9,Jam,Standstill Traffic,437
-87.69,41.92,Hazard,Hazard - Road,437
-87.63,41.84,Jam,Unclassified,436
-87.66,41.99,Hazard,Hazard - Shoulder,436
-87.77,42.0,Jam,Standstill Traffic,434
-87.67,41.95,Jam,Standstill Traffic,434
-87.64,41.86,Jam,Unclassified,432
-87.66,41.84,Hazard,Hazard - Road,430
-87.64,41.87,Jam,Unclassified,430
-87.61,41.71,Hazard,Hazard - Road,429
-87.77,41.98,Hazard,Hazard - Road,427
-87.67,41.95,Hazard,Hazard - Road,426
-87.62,41.87,Jam,Unclassified,426
-87.68,41.95,Jam,Heavy Traffic,424
-87.7,41.93,Jam,Unclassified,423
-87.66,41.97,Hazard,Hazard - Road,421
-87.64,41.95,Jam,Heavy Traffic,421
-87.63,41.74,Jam,Heavy Traffic,421
-87.62,41.88,Road Closed,Unclassified,420
-87.57,41.74,Hazard,Hazard - Shoulder,419
-87.59,41.75,Hazard,Hazard - Shoulder,419
-87.71,41.93,Jam,Heavy Traffic,416
-87.75,41.96,Jam,Unclassified,413
-87.84,41.98,Hazard,Hazard - Road,412
-87.62,41.71,Jam,Heavy Traffic,412
-87.77,41.97,Jam,Unclassified,412
-87.59,41.71,Jam,Heavy Traffic,410
-87.6,41.68,Hazard,Hazard - Road,409
-87.64,41.95,Hazard,Hazard - Road,409
-87.73,41.96,Hazard,Hazard - Shoulder,406
-87.67,41.99,Hazard,Hazard - Road,406
-87.61,41.84,Hazard,Hazard - Road,404
-87.77,41.87,Hazard,Hazard - Road,404
-87.67,41.94,Hazard,Hazard - Road,403
-87.69,41.99,Jam,Heavy Traffic,402
-87.69,41.83,Jam,Heavy Traffic,402
-87.63,41.92,Hazard,Hazard - Road,400
-87.63,41.88,Jam,Heavy Traffic,400
-87.6,41.71,Hazard,Hazard - Road,397
-87.71,41.87,Jam,Standstill Traffic,397
-87.69,41.92,Jam,Standstill Traffic,397
-87.65,41.95,Jam,Heavy Traffic,395
-87.65,41.94,Jam,Heavy Traffic,394
-87.66,41.95,Jam,Standstill Traffic,393
-87.7,41.94,Jam,Unclassified,393
-87.63,41.76,Jam,Standstill Traffic,392
-87.74,41.79,Hazard,Hazard - Road,391
-87.7,41.96,Jam,Heavy Traffic,390
-87.63,41.74,Hazard,Hazard - Road,389
-87.64,41.95,Hazard,Hazard - Shoulder,389
-87.74,41.82,Jam,Unclassified,388
-87.65,41.98,Hazard,Hazard - Road,388
-87.65,41.94,Jam,Standstill Traffic,385
-87.65,41.96,Hazard,Hazard - Road,385
-87.63,41.9,Road Closed,Unclassified,384
-87.67,41.99,Jam,Standstill Traffic,383
-87.72,41.98,Hazard,Hazard - Road,382
-87.63,41.93,Jam,Standstill Traffic,381
-87.71,41.97,Jam,Standstill Traffic,378
-87.84,41.98,Jam,Standstill Traffic,375
-87.8,41.98,Jam,Unclassified,373
-87.66,41.99,Jam,Unclassified,373
-87.68,41.95,Jam,Standstill Traffic,372
-87.63,41.92,Jam,Heavy Traffic,371
-87.61,41.85,Jam,Standstill Traffic,371
-87.88,41.99,Hazard,Hazard - Shoulder,370
-87.77,41.97,Hazard,Hazard - Road,370
-87.69,41.96,Jam,Heavy Traffic,369
-87.63,41.85,Jam,Unclassified,369
-87.62,41.87,Road Closed,Unclassified,367
-87.68,41.87,Hazard,Hazard - Road,365
-87.66,41.95,Jam,Heavy Traffic,365
-87.63,41.89,Jam,Unclassified,365
-87.65,41.94,Hazard,Hazard - Road,363
-87.64,41.85,Accident,Unclassified,363
-87.65,41.97,Jam,Standstill Traffic,361
-87.73,41.96,Hazard,Hazard - Road,361
-87.66,41.9,Accident,Major Accident,360
-87.77,41.98,Jam,Unclassified,360
-87.73,41.82,Jam,Standstill Traffic,359
-87.68,41.93,Jam,Unclassified,358
-87.68,41.85,Hazard,Hazard - Road,358
-87.69,41.97,Jam,Standstill Traffic,357
-87.65,41.91,Hazard,Hazard - Road,357
-87.82,41.98,Hazard,Hazard - Road,356
-87.68,41.93,Hazard,Hazard - Shoulder,356
-87.68,41.99,Jam,Heavy Traffic,355
-87.7,41.91,Jam,Heavy Traffic,354
-87.63,41.83,Jam,Unclassified,354
-87.64,41.86,Accident,Unclassified,352
-87.63,41.75,Jam,Standstill Traffic,352
-87.64,41.89,Hazard,Hazard - Shoulder,351
-87.67,41.91,Jam,Unclassified,351
-87.67,41.97,Hazard,Hazard - Road,350
-87.74,41.97,Jam,Heavy Traffic,349
-87.66,42.0,Jam,Heavy Traffic,348
-87.7,41.92,Hazard,Hazard - Road,348
-87.71,41.96,Jam,Heavy Traffic,344
-87.64,41.87,Accident,Unclassified,340
-87.75,41.95,Jam,Heavy Traffic,340
-87.76,41.81,Hazard,Hazard - Shoulder,339
-87.74,41.81,Jam,Heavy Traffic,339
-87.69,41.83,Jam,Standstill Traffic,339
-87.69,41.92,Jam,Heavy Traffic,338
-87.67,42.0,Hazard,Hazard - Road,335
-87.77,41.87,Jam,Unclassified,335
-87.63,41.72,Hazard,Hazard - Shoulder,333
-87.69,41.95,Jam,Standstill Traffic,332
-87.73,41.82,Jam,Unclassified,331
-87.67,41.89,Jam,Heavy Traffic,330
-87.79,41.99,Hazard,Hazard - Road,330
-87.6,41.68,Jam,Heavy Traffic,329
-87.65,41.95,Road Closed,Unclassified,329
-87.68,41.91,Jam,Standstill Traffic,328
-87.68,41.86,Hazard,Hazard - Road,328
-87.72,41.82,Jam,Standstill Traffic,328
-87.61,41.77,Hazard,Hazard - Shoulder,327
-87.67,41.98,Hazard,Hazard - Road,327
-87.64,41.9,Jam,Heavy Traffic,326
-87.83,41.98,Hazard,Hazard - Road,326
-87.7,41.92,Jam,Standstill Traffic,326
-87.67,41.93,Hazard,Hazard - Road,325
-87.69,41.94,Jam,Heavy Traffic,325
-87.62,41.74,Jam,Heavy Traffic,325
-87.66,41.93,Jam,Heavy Traffic,325
-87.67,41.9,Jam,Heavy Traffic,324
-87.69,41.96,Jam,Standstill Traffic,323
-87.64,41.93,Jam,Heavy Traffic,320
-87.64,41.94,Hazard,Hazard - Shoulder,319
-87.6,41.76,Hazard,Hazard - Shoulder,319
-87.64,41.93,Jam,Standstill Traffic,317
-87.59,41.66,Jam,Heavy Traffic,317
-87.61,41.85,Jam,Heavy Traffic,316
